City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
302,Lavrentiya,RU,65.5833,-171.0,44.22,72,8,13.31,clear sky
303,Mitsamiouli,KM,-11.3847,43.2844,76.75,67,0,5.14,clear sky
304,Pekalongan,ID,-6.8886,109.6753,82.0,75,100,2.13,overcast clouds
305,Iranshahr,IR,27.2025,60.6848,92.28,26,5,1.74,clear sky
306,Mount Isa,AU,-20.7333,139.5,73.17,27,0,12.66,clear sky
307,Gladstone,AU,-23.85,151.25,72.79,46,100,6.91,overcast clouds
308,Klaksvik,FO,62.2266,-6.589,50.92,99,100,22.06,light rain
309,Rockhampton,AU,-23.3833,150.5,73.29,49,40,8.05,scattered clouds
310,Samarai,PG,-10.6167,150.6667,81.66,78,69,8.72,broken clouds
311,Olafsvik,IS,64.8945,-23.7142,48.97,79,100,11.12,overcast clouds
312,Evensk,RU,61.95,159.2333,54.97,58,100,5.23,overcast clouds
313,Escanaba,US,45.7453,-87.0646,70.25,45,53,11.56,broken clouds
314,Cayenne,GF,4.9333,-52.3333,74.08,1,0,0.0,clear sky
315,Xining,CN,36.6167,101.7667,68.85,30,71,1.99,broken clouds
316,Barabai,ID,-2.5833,115.3833,85.66,65,32,1.66,scattered clouds
317,Ellensburg,US,46.9965,-120.5479,72.57,51,100,14.0,overcast clouds
318,Isangel,VU,-19.55,169.2667,81.09,79,100,13.49,moderate rain
319,Arman,RU,59.7,150.1667,50.02,95,100,3.38,overcast clouds
320,Rantepao,ID,-2.9701,119.8978,79.05,64,40,3.06,scattered clouds
321,Kismayo,SO,-0.3582,42.5454,77.18,85,98,13.38,light rain
322,Guadalupe Y Calvo,MX,26.1,-106.9667,61.92,71,72,2.28,broken clouds
323,Mago,RU,53.2514,140.1822,49.98,97,100,1.81,moderate rain
324,Kaspiyskiy,RU,45.3929,47.3707,72.1,61,3,11.45,clear sky
325,Chekhov,RU,55.1431,37.4711,49.95,84,31,5.1,scattered clouds
326,Kidal,ML,18.4411,1.4078,84.4,39,100,8.39,overcast clouds
327,Bay Roberts,CA,47.5999,-53.2648,50.32,81,5,1.01,clear sky
328,Aktau,KZ,43.65,51.2,77.58,51,56,15.57,broken clouds
329,Sao Francisco Do Sul,BR,-26.2433,-48.6381,59.41,94,35,3.87,scattered clouds
330,Adrar,MR,20.5022,-10.0711,88.03,14,0,4.52,clear sky
331,Rognan,NO,67.0953,15.3878,49.05,84,69,0.67,broken clouds
332,Semey,KZ,50.4111,80.2275,62.82,63,0,11.18,clear sky
333,Llangefni,GB,53.2556,-4.3106,64.18,56,100,12.66,overcast clouds
334,Amarpatan,IN,24.3167,80.9833,83.21,63,99,9.19,overcast clouds
335,Lompoc,US,34.6391,-120.4579,71.56,71,0,27.0,clear sky
336,Buala,SB,-8.145,159.5921,83.61,74,80,9.6,light rain
337,Lesnoy,RU,57.6198,63.0784,64.58,78,2,0.2,clear sky
338,Wiwili,NI,13.6268,-85.8254,72.9,92,85,1.48,moderate rain
339,Vila Franca Do Campo,PT,37.7167,-25.4333,69.19,93,14,4.43,few clouds
340,Vestmannaeyjar,IS,63.4427,-20.2734,48.72,88,100,19.57,overcast clouds
341,Mezhdurechenskiy,RU,59.6,65.9333,63.1,58,3,3.36,clear sky
342,Waipawa,NZ,-41.4122,175.5153,48.31,79,100,3.49,overcast clouds
343,Saint George,US,37.1041,-113.5841,102.25,6,0,8.01,clear sky
344,Mogadishu,SO,2.0371,45.3438,78.13,84,100,12.5,light rain
345,Voi,KE,-3.3945,38.563,69.57,78,87,10.38,overcast clouds
